Company Name,Founding Date,Founder name,Location,Industry/Sector,Stage,Brief Description,Team Members,Business Model,Loyal Customer,Market Size (Rp),Market Target,Amount seeking (Rp),Funding Raised (Rp),Revenue (Rp),Profiitability (%),Growth rate (%),Preferred investment type,Intended use of funds
GreenSpace,2024-02-15,Ir. H. Nurcahyo,"Makassar, South Sulawesi",Environmental Sustainability,Series B,"""GreenSpace is an environmental sustainability company that specializes in urban forestry solutions. Our innovative products and services promote tree planting and urban greening initiatives, reducing greenhouse gas emissions and promoting a healthier environment. With a focus on community engagement, we aim to educate and empower local communities to adopt sustainable practices.""",75,SaaS,539,6000000000,Specific Industries,54000000000,27000000,105000000.0,0.38,62.0,Equity,"""Expanding operations to address growing demand and allocating resources to research and development to enhance products and lower costs."""
PuriTech,2006-03-18,"Sabrina Putra, M.Pd","Jakarta, DKI Jakarta",Software Development,Series B,"""PuriTech is a software development startup that aims to provide cutting-edge digital solutions for Indonesian businesses. Our team of experts is committed to delivering innovative and efficient technology to bridge the gap between traditional and modern businesses in Indonesia. With a focus on artificial intelligence and machine learning, we aim to revolutionize the way businesses operate and grow. Our goal is to become a leading software development company in Indonesia, providing solutions that cater to the diverse needs of the market. By leveraging the latest technology and trends, we aim to make a significant impact on the Indonesian economy and contribute""",22,Freemium,17222,32000000000,Specific Industries,24000000000,24000000,116000000.0,0.31,144.0,Debt,"""Develop cutting-edge software solutions, enhance R&D, and expand marketing efforts to increase customer acquisition and market share."""
PayTech,2022-10-01,Endra Wastuti,"Lubuklinggau, South Sumatra",Financial Tech,Series A,"""PayTech is a leading financial technology company focused on revolutionizing payment systems in Indonesia. By providing secure, efficient, and user-friendly digital payment solutions, PayTech bridges the gap between businesses and consumers. Our innovative platform leverages cutting-edge technologies to simplify transactions, enhance accessibility, and drive economic growth. With a commitment to transparency and excellence, PayTech aims to be the preferred partner for businesses and individuals in the digital financial ecosystem.""",147,SaaS,3517,45000000000,Specific Industries,57000000000,32000000,154000000.0,0.28,106.0,Equity,"""Expand platform features, strengthen cybersecurity measures, and grow partnerships with financial institutions to scale operations."""
TradeCommerce,2008-11-05,Jatmiko Marbun,"Malang, East Java",E-commerce,Series A,"""TradeCommerce is a dynamic e-commerce platform designed to empower Indonesian businesses with seamless online marketplace solutions. We provide a comprehensive suite of tools to help sellers reach broader audiences and customers discover diverse products effortlessly. By integrating advanced technology and data-driven insights, TradeCommerce ensures a superior shopping experience. Our mission is to be at the forefront of Indonesia's digital transformation by enabling efficient and sustainable online trade.""",89,Subscription,10897,24000000000,Global,25000000000,30000000,186000000.0,0.29,68.0,Equity,"""Develop user-friendly e-commerce features, expand vendor partnerships, and enhance digital marketing to increase sales and customer engagement."""
DreamEntertainment,2020-07-20,"Ida Irawan, S.IP","Bandung, West Java",Entertainment,Growth,"""DreamEntertainment is a creative powerhouse in Indonesia's entertainment industry, delivering engaging and innovative content to captivate diverse audiences. From producing high-quality films and shows to organizing world-class events, DreamEntertainment combines creativity with cutting-edge technology. Our goal is to inspire and entertain, shaping the future of Indonesia’s cultural landscape while building a global presence.""",125,Marketplace,3360,6000000000,SMBs,35000000000,25000000,15000000.0,0.31,62.0,Debt,"""Produce high-quality digital content, collaborate with influencers, and expand platform reach to attract a wider audience."""
AgriAgri,2012-06-25,Najib Waluyo,"Mamuju, West Sulawesi",AgriTech,Series C,"""AgriAgri is a forward-thinking agricultural technology company dedicated to transforming Indonesia's farming sector. By integrating modern technology with traditional practices, we provide farmers with innovative tools to improve productivity and sustainability. Our solutions include precision farming, supply chain optimization, and smart irrigation systems. AgriAgri aims to revolutionize agriculture in Indonesia, ensuring food security and economic growth for future generations.""",99,E-commerce,14717,31000000000,SMBs,16000000000,16000000,99000000.0,0.26,39.0,Convertible Note,"""Develop precision farming technology, expand farmer outreach programs, and improve supply chain logistics to maximize agricultural output."""
NusaTech,2007-08-15,Jamil Yulianti,"Palu, Central Sulawesi",Technology,Series A,"""NusaTech is an Indonesian technology company committed to providing state-of-the-art digital solutions for businesses across various sectors. Our expertise spans software development, cloud computing, and artificial intelligence, enabling companies to streamline operations and drive innovation. With a focus on quality and reliability, NusaTech is dedicated to supporting Indonesia's digital transformation journey and global competitiveness.""",46,E-commerce,15961,31000000000,Global,24000000000,45000000,30000000.0,0.14,94.0,Equity,"""Scale technological innovation, enhance R&D for cutting-edge solutions, and increase marketing efforts to strengthen the brand."""
MarketMall,2016-12-01,"Jasmin Rajasa, S.T.","Banda Aceh, Aceh",E-commerce,Series B,"""MarketMall is an integrated e-commerce platform offering a seamless online shopping experience for customers and businesses in Indonesia. By providing a wide range of products and services, coupled with fast delivery and secure payment options, we aim to redefine convenience and accessibility in online commerce. MarketMall aspires to become the go-to marketplace for Indonesians, connecting communities through trade.""",79,Freemium,6340,26000000000,Enterprises,41000000000,5000000,90000000.0,-0.18,115.0,Equity,"""Onboard more sellers, optimize logistics processes, and launch targeted campaigns to attract buyers and increase revenue."""
FutureAcademy,2015-01-10,Gada Uyainah,"Gorontalo, Gorontalo",Education,Pre-seed,"""FutureAcademy is a pioneering education technology platform that empowers Indonesian learners with accessible and high-quality educational resources. From online courses to personalized learning tools, we aim to bridge the education gap and prepare individuals for the future workforce. FutureAcademy believes in transforming lives through knowledge, fostering innovation, and creating opportunities for all.""",111,Ad-based,10439,34000000000,Specific Industries,87000000000,13000000,46000000.0,0.57,103.0,Equity,"""Develop interactive learning content, enhance platform features, and establish partnerships with educational institutions to grow user base."""
SmartTech,2023-09-12,Lembah Fujiati,"Yogyakarta, Yogyakarta",Financial Tech,Growth,"""SmartTech is an innovative technology company driving Indonesia's digital transformation by delivering advanced solutions in artificial intelligence, software development, and IoT. Our mission is to empower businesses and individuals through cutting-edge technology, improving efficiency, and fostering sustainable growth. With a customer-first approach, SmartTech is dedicated to shaping a smarter, more connected future for Indonesia.""",100,Freemium,13412,38000000000,SMBs,49000000000,6000000,157000000.0,0.23,102.0,Convertible Note,"""Expand AI-powered tools, strengthen product development, and grow the sales team to penetrate new markets."""
InnovaDigital,2021-10-15,Manah Palastri,"Denpasar, Bali",Technology,Series C,"""InnovaDigital empowers businesses with cutting-edge digital tools and strategies. By focusing on tailored solutions, from digital marketing to platform development, we help clients achieve their goals in an ever-evolving digital landscape.""",119,Ad-based,12750,19000000000,Global,50000000000,14000000,16000000.0,0.01,19.0,Debt,"""Innovate digital tools, enhance user experience, and invest in marketing efforts to grow user acquisition and revenue."""
HealthHealth,2018-04-20,R.A. Sarah Winarsih,"Bogor, West Java",Healthcare,Pre-seed,"""HealthHealth is a premier healthcare provider focused on improving access to quality medical services in Indonesia. Through state-of-the-art facilities, experienced professionals, and innovative health technologies, we ensure personalized and efficient care for our patients. Our goal is to enhance the overall health and well-being of the community, fostering a healthier Indonesia.""",126,Freemium,180,30000000000,Enterprises,52000000000,19000000,117000000.0,0.42,35.0,Equity,"""Develop personalized health solutions, strengthen partnerships with healthcare providers, and expand marketing for user acquisition."""
MediWellness,2010-02-18,"Tgk. Kunthara Usamah, S.I.Kom","Pontianak, West Kalimantan",Healthcare,Series A,"""MediWellness specializes in holistic healthcare solutions designed to promote physical and mental well-being. By integrating traditional and modern practices, we offer personalized wellness programs, preventive care, and rehabilitation services. MediWellness is committed to empowering individuals to lead healthier lives through innovation, compassion, and expertise.""",30,Marketplace,272,49000000000,Specific Industries,51000000000,31000000,183000000.0,0.18,28.0,Equity,"""Launch new wellness programs, improve user experience, and increase outreach to attract health-conscious consumers."""
SmartLearning,2011-03-25,Dagel Yolanda,"Banjarmasin, South Kalimantan",Education,Growth,"""SmartLearning redefines education by combining modern technology with interactive methods to provide a personalized and effective learning experience. We are dedicated to empowering students and professionals with skills for the future.""",143,Subscription,3521,22000000000,Enterprises,36000000000,1000000,153000000.0,0.51,119.0,Debt,"""Build AI-driven learning modules, enhance gamification features, and expand the marketing team to grow market presence."""
StarProductions,2023-05-01,Gina Pranowo,"Jambi, Jambi",Entertainment,Series C,""".StarProductions is a creative leader in Indonesia’s entertainment sector, producing captivating content that resonates with diverse audiences. From movies and series to live events and digital content, we combine storytelling with innovation to deliver exceptional experiences. StarProductions is dedicated to becoming a global icon in entertainment, representing Indonesian creativity on the world stage.""",83,Ad-based,1116,28000000000,Enterprises,5000000000,14000000,97000000.0,0.06,105.0,Convertible Note,"""nvest in high-quality entertainment production, collaborate with renowned creators, and expand platform marketing to drive growth."""
QuickShop,2022-06-12,Cakrawangsa Kuswandari,"Manokwari, West Papua",E-commerce,Seed,"""QuickShop is a fast-growing e-commerce platform that simplifies online shopping for Indonesian customers. By offering a user-friendly interface, a diverse range of products, and reliable delivery services, QuickShop ensures convenience and satisfaction at every step. Our vision is to make online shopping a trusted and enjoyable experience for everyone.""",53,Marketplace,17590,28000000000,Enterprises,16000000000,43000000,42000000.0,0.16,95.0,Convertible Note,"""Simplify shopping processes, enhance logistics, and expand customer service to boost customer retention and sales."""
TradeStore,2006-11-10,Prakosa Sitompul,"Jakarta, Jakarta",E-commerce,Series B,"""TradeShop is a dynamic retail company offering a wide variety of products at competitive prices. With a focus on quality and customer satisfaction, TradeShop strives to make shopping an enjoyable and seamless experience for consumers across Indonesia.""",86,Marketplace,3163,35000000000,Individuals,7000000000,29000000,76000000.0,0.55,74.0,Debt,"""Optimize e-commerce processes, onboard more vendors, and enhance platform security to improve customer satisfaction."""
FunEntertainment,2021-08-05,dr. Nurul Prabowo,"Padang, West Sumatra",Entertainment,Series C,"""FunEntertainment is a vibrant entertainment company dedicated to delivering joy and excitement to audiences across Indonesia. From high-energy events to interactive digital content, we focus on creating unforgettable experiences that inspire and entertain. FunEntertainment aims to be a leading name in the entertainment industry, promoting Indonesian culture globally.""",74,E-commerce,19039,22000000000,Enterprises,3000000000,19000000,117000000.0,0.08,42.0,Debt,"""Develop engaging entertainment content, grow influencer collaborations, and expand platform accessibility."""
MarketCommerce,2019-09-18,Mahfud Mustofa,"Jayapura, Papua",E-commerce,Series A,"""MarketCommerce connects buyers and sellers through a seamless and secure e-commerce platform. With diverse product offerings and user-friendly features, we aim to revolutionize the online shopping experience.""",15,Freemium,11649,44000000000,Specific Industries,32000000000,40000000,200000000.0,-0.11,114.0,Convertible Note,"""Increase partnerships with SMEs, optimize customer experiences, and invest in logistics to enhance market operations."""
CareWellness,2005-03-01,Putu Farida,"Ende, East Nusa Tenggara",Healthcare,Series A,"""CareWellness provides comprehensive wellness solutions to promote physical and mental health. Through personalized care, innovative programs, and expert guidance, we empower individuals to lead healthier lives.""",51,SaaS,16538,10000000000,Specific Industries,33000000000,14000000,158000000.0,0.45,117.0,Convertible Note,"""Expand wellness programs, build partnerships with healthcare providers, and invest in customer acquisition campaigns."""
GreenFarms,2020-10-25,Talia Yuniar,"Timika, Central Papua",AgriTech,Pre-seed,"""GreenFarms is a cutting-edge AgriTech company committed to transforming traditional farming practices into sustainable and innovative solutions. By providing smart farming tools, data analytics, and eco-friendly technologies, we help farmers increase productivity and reduce environmental impact. GreenFarms aims to lead Indonesia toward a more sustainable agricultural future.""",89,Subscription,13994,29000000000,Individuals,94000000000,47000000,114000000.0,0.44,103.0,Debt,"""Scale sustainable farming practices, enhance agricultural technologies, and expand supply chain partnerships."""
FunMedia,2013-06-15,Diandra Vanya,"Tarakan, North Kalimantan",Entertainment,Series C,"""FunMedia is a creative powerhouse producing captivating digital content, events, and interactive experiences. Our aim is to entertain, engage, and connect audiences across platforms.""",76,Ad-based,4515,37000000000,SMBs,6000000000,10000000,90000000.0,-0.17,66.0,Equity,"""Create innovative media campaigns, expand the content library, and grow the team to attract and retain audiences."""
AgriSolutions,2014-02-10,"Ir. Kamaria Mardhiyah, M.M.","Bima, West Nusa Tenggara",AgriTech,Seed,"""AgriSolutions transforms traditional farming with smart, data-driven solutions that enhance productivity and sustainability. We empower farmers to overcome challenges and thrive in a modern agricultural landscape.""",59,Ad-based,15807,45000000000,Enterprises,76000000000,41000000,127000000.0,-0.13,38.0,Convertible Note,"""Improve precision agriculture tools, expand farmer training programs, and develop technology for better crop yields."""
SmartFinance,2016-07-12,Kezia Latupono,"Solo, Central Java",Financial Tech,Series A,"""SmartFinance is a financial technology innovator providing comprehensive digital solutions for personal and business finance in Indonesia. With products ranging from digital wallets to investment tools, SmartFinance ensures accessibility, security, and efficiency in managing financial resources. Our mission is to empower Indonesians with smart financial tools that drive growth and stability.""",22,SaaS,12598,19000000000,Specific Industries,38000000000,0,30000000.0,0.54,88.0,Equity,"""Enhance financial literacy tools, improve platform security, and establish collaborations with financial institutions."""
MediSolutions,2008-08-20,Hasna Usamah,"Lubuklinggau, South Sumatra",Healthcare,Series A,"""MediSolutions bridges healthcare and technology by providing advanced tools for diagnostics, patient management, and telemedicine. We are committed to improving the quality and efficiency of medical services.""",64,SaaS,5813,21000000000,Individuals,25000000000,14000000,12000000.0,0.1,119.0,Equity,"""Launch advanced healthcare tools, strengthen user support, and expand outreach to rural healthcare facilities."""
EduAcademy,2022-05-05,R. Olivia Pertiwi,"Parepare, South Sulawesi",Education,Series B,"""EduAcademy is a transformative education platform offering tailored learning experiences to students in Indonesia. Our innovative approach combines technology, expert instructors, and engaging content to empower learners in achieving their academic and career aspirations. EduAcademy is committed to nurturing talent and unlocking potential across the nation.""",115,Freemium,7194,14000000000,Global,73000000000,7000000,53000000.0,0.26,92.0,Convertible Note,"""Develop advanced learning solutions, establish strategic partnerships with schools, and grow marketing efforts."""
GrowFarms,2019-01-01,Tomi Saputra,"Serang, Banten",AgriTech,Growth,"""GrowFarms is dedicated to modernizing agriculture through smart farming practices, advanced technologies, and sustainable methods. We help farmers optimize yields while preserving the environment.""",23,Subscription,8387,27000000000,Individuals,60000000000,15000000,129000000.0,-0.19,100.0,Debt,"""Introduce sustainable farming technologies, enhance farm-to-market systems, and grow partnerships with farmers."""
GreenAgri,2021-04-15,Lyodra Julie,"Jakarta, Jakarta",AgriTech,Growth,"""GreenSolutions develops innovative technologies and strategies to address environmental challenges. From renewable energy to waste management, we aim to create a more sustainable future for communities worldwide.""",34,Ad-based,969,38000000000,Individuals,60000000000,41000000,68000000.0,0.17,34.0,Debt,"""Scale eco-friendly farming initiatives, enhance digital tools for farmers, and improve supply chain management."""
BioCare,2012-07-10,Mitra Lestari,"Ende, East Nusa Tenggara",Healthcare,Series A,"""BioCare focuses on delivering groundbreaking biotech solutions to improve healthcare outcomes. With innovative research and personalized care, we aim to enhance the quality of life for our patients.""",115,Freemium,9273,47000000000,Enterprises,83000000000,39000000,92000000.0,-0.03,47.0,Convertible Note,"""Develop advanced healthcare products, expand R&D, and improve customer outreach efforts to grow market presence."""
BioWellness,2013-10-18,"Cengkal Wastuti, M.Ak","Timika, Central Papua",Healthcare,Growth,"""BioWellness merges biotechnology with wellness to offer scientifically backed solutions for health and well-being. From supplements to therapies""",27,Freemium,14699,27000000000,Specific Industries,54000000000,27000000,161000000.0,0.08,36.0,Equity,"""Enhance wellness product offerings, strengthen online presence, and launch user acquisition campaigns."""
StarEntertainment,2010-12-12,"Ayu Widodo, S.Psi","Makassar, South Sulawesi",Entertainment,Seed,"""StarEntertainment creates inspiring and memorable entertainment experiences through world-class productions, live events, and digital media. We bring stories to life and connect people through the power of creativity.""",149,Marketplace,7157,41000000000,Global,94000000000,43000000,70000000.0,0.09,73.0,Debt,"""Produce innovative entertainment experiences, collaborate with popular creators, and grow international presence."""
DigitalTech,2006-05-15,Luhung Waskita,"Solo, Central Java",Financial Tech,Series C,"""DigitalTech is a technology company focused on delivering innovative digital solutions to modernize businesses in Indonesia. From custom software to advanced data analytics, we empower organizations to thrive in a competitive market. DigitalTech is driven by a vision to make technology an enabler of growth and sustainability for all.""",11,Freemium,1673,17000000000,Individuals,94000000000,40000000,52000000.0,-0.06,65.0,Convertible Note,""" Innovate digital transformation tools, expand development capabilities, and strengthen brand positioning."""
FutureLearning,2022-11-01,Kardi Agustina,"Metro, Lampung",Education,Series B,"""FutureLearning provides innovative educational programs designed to equip learners with the skills and knowledge needed for tomorrow’s world. We combine technology and expert guidance to inspire lifelong learning.""",38,SaaS,313,9000000000,Individuals,34000000000,32000000,57000000.0,0.08,106.0,Debt,"""Build AI-driven learning solutions, enhance personalized learning, and expand platform marketing to grow reach."""
InnovaTech,2020-01-20,Clora Wattimena,"Bogor, West Java",Technology,Pre-seed,"""InnovaTech is a forward-thinking technology firm specializing in creating innovative solutions for businesses and individuals. From AI-driven software to smart devices.  InnovaTech is committed to driving progress and enabling success through technology.""",102,SaaS,9376,41000000000,Global,75000000000,47000000,69000000.0,0.21,55.0,Equity,"""Drive R&D for innovative technologies, scale product offerings, and expand market presence."""
Innovatech Indonesia,2020-01-01,Cawisadi Damanik,"Lubuklinggau, South Sumatra",Software Development,Pre-seed,"""Innovatech Indonesia is a leading software development company in Indonesia, providing cutting-edge solutions for various industries. Our team of expert developers uses the latest technologies to deliver high-quality products that meet the evolving needs of our clients. We are committed to innovation, customer satisfaction, and making a positive impact on society. Our mission is to become the go-to software development partner for businesses in Indonesia and beyond. With a strong focus on research and development, we continuously strive to improve our processes and services, ensuring that our clients receive the best possible outcomes. We believe in the power of technology to drive growth, efficiency, and success, and we are passionate about helping businesses achieve their goals through innovative software solutions. At Innovatech Indonesia, we are dedicated to building long-term relationships with our clients, based on trust, reliability, and a deep understanding of their unique needs. We are excited to partner with investors who share our vision and are committed to helping us achieve our growth goals. With a talented team, a strong track record, and a proven business model, we are confident that we have the potential to become a leading player in the Indonesian software development market. """,87,Ad-based,615,22000000000,Global,73000000000,9000000,88000000.0,0.05,69.0,Equity,"""To expand our product offerings, enhance our research and development capabilities, and increase our marketing efforts to reach a wider audience. We plan to use the investment funds to hire additional talent, improve our infrastructure, and develop new products and services that meet the evolving needs of our clients. We believe that with the right investment, we can accelerate our growth, increase our revenue, and become a leading player in the Indonesian software development market. We are looking for investors who are passionate about innovation, customer satisfaction, and making a positive impact on society. We believe that our values align with those of like-minded investors, and we are excited to partner with them to achieve our growth goals."""
Lumina Lab,2020-03-16,Saiful Wasita,"Malang, East Java",Education Technology,Series A,"""Lumina Lab is an AI-powered learning platform for underserved students in Indonesia. Our platform provides personalized learning pathways, adaptive assessments, and real-time feedback to help students catch up on their studies. We aim to bridge the education gap in Indonesia by making quality education accessible and affordable for all.""",32,Marketplace,6625,19000000000,Enterprises,62000000000,28000000,99000000.0,-0.2,138.0,Equity,"""To develop our AI-powered learning engine and expand our user base to reach 10000 students within the next 6 months."""
Kasapa,2020-02-15,"Qori Prayoga, S.Psi","Parepare, South Sulawesi",Financial Tech,Series B,"""Kasapa is an innovative digital lending platform connecting underbanked consumers with capital. By leveraging AI-driven credit scoring and mobile payments, Kasapa provides fast and affordable access to credit for millions of Indonesians.""",40,Subscription,13981,17000000000,Individuals,98000000000,13000000,178000000.0,0.08,64.0,Equity,"""Scaling marketing and customer acquisition efforts to reach 1 million users within the next 12 months, while also expanding our team to drive product development and improve operational efficiency."""
Teras Agritech,2015-08-22,"Wardi Maulana, S.Psi","Bandung, West Java",Agricultural Technology,Series A,"""Teras Agritech is a leading Indonesian agtech company that provides innovative solutions for farmers, including precision agriculture tools and digital marketplaces. Our mission is to increase crop yields and improve farmers' livelihoods through technology.""",37,Subscription,12760,17000000000,Global,94000000000,38000000,157000000.0,0.09,71.0,Convertible Note,"""Expanding our sales and marketing efforts to reach more farmers across Indonesia, while also developing new products to support the growth of the Indonesian agriculture sector."""
Ruang Makan,2018-03-01,Dewi Liya Ratnasari,"Mamuju, West Sulawesi",Food Delivery,Seed,"""Ruang Makan is a food delivery platform that connects customers with local restaurants and food vendors in Indonesia. Our platform offers a wide range of options, including healthy and halal food, and provides customers with real-time tracking and payment solutions.""",87,Subscription,12619,15000000000,Specific Industries,84000000000,40000000,45000000.0,0.25,33.0,Debt,"""Scaling our logistics and customer support operations to meet growing demand, while also expanding our menu options to cater to a wider range of customers."""
Paku,2019-09-10,Rizki Nugroho,"Semarang, Central Java",E-commerce,Seed,"""Paku is a social commerce platform that enables consumers to discover and purchase products from local artisans and small businesses. Our platform promotes fair trade practices and provides artisans with a platform to showcase their talents and reach a wider audience.""",52,SaaS,2732,32000000000,Specific Industries,80000000000,3000000,55000000.0,-0.04,99.0,Equity,"""Scaling our marketing and customer acquisition efforts to reach more consumers and artisans, while also developing new features to improve the user experience and drive sales."""
Tadipatri,2017-01-25,Irfan Sofyan,"Palu, Central Sulawesi",Clean Energy,Series B,"""Tadipatri is a renewable energy company that develops and implements solar power solutions for businesses and households in Indonesia. Our mission is to reduce carbon emissions and promote sustainable energy practices in the country.""",68,Ad-based,953,20000000000,Enterprises,28000000000,43000000,156000000.0,-0.16,100.0,Convertible Note,"""Scaling our sales and marketing efforts to reach more customers, while also developing new products and services to support the growth of the clean energy sector in Indonesia."""
Cimande,2016-10-12,Nala Nurhayati,"Banda Aceh, Aceh",Healthtech,Series C,"""Cimande is a healthtech company that provides innovative solutions for healthcare providers and patients in Indonesia. Our platform offers telemedicine services, electronic health records, and patient engagement tools to improve the quality of care and patient outcomes.""",100,Freemium,15009,34000000000,Individuals,56000000000,40000000,131000000.0,-0.02,33.0,Debt,"""Scaling our operations to meet growing demand, while also developing new products and services to support the growth of the healthtech sector in Indonesia."""
Bumi Wira,2014-05-01,Ricky Setiawan,"Gorontalo, Gorontalo",Education,Series B,"""Bumi Wira is an education company that provides online learning platforms and educational content for students in Indonesia. Our mission is to improve access to quality education and promote lifelong learning in the country.""",100,Subscription,8867,29000000000,Specific Industries,73000000000,47000000,139000000.0,0.23,16.0,Equity,"""Scaling our content development and marketing efforts to reach more students and educators, while also developing new products and services to support the growth of the education sector in Indonesia."""
Samudra Teknologi,2012-08-15,Nurcahyo Wirasatya,"Yogyakarta, Yogyakarta",Industrial Automation,Pre-seed,"""Samudra Teknologi is an industrial automation company that provides innovative solutions for manufacturing and processing industries in Indonesia. Our platform offers automation and control systems, data analytics, and cybersecurity solutions to improve efficiency and productivity.""",42,SaaS,15004,900000000,SMBs,93000000000,36000000,120000000.0,0.45,62.0,Convertible Note,"""Scaling our sales and marketing efforts to reach more customers, while also developing new products and services to support the growth of the industrial automation sector in Indonesia."""
Kemuning,2018-11-20,Rifqi Fadhil,"Yogyakarta, Yogyakarta",Logistics,Seed,"""Kemuning is a logistics company that provides innovative solutions for e-commerce and retail businesses in Indonesia. Our platform offers last-mile delivery, warehousing, and supply chain management services to improve delivery times and reduce costs.""",91,E-commerce,17490,4000000000,Individuals,41000000000,38000000,43000000.0,0.45,66.0,Equity,"""Scaling our operations to meet growing demand, while also developing new products and services to support the growth of the logistics sector in Indonesia."""
Astri,2015-04-01,Putri Ayu,"Denpasar, Bali",Tourism,Seed,"""Astri is a tourism company that provides innovative solutions for tour operators and travel agencies in Indonesia. Our platform offers online booking systems, travel guides, and customer relationship management tools to improve the travel experience and increase bookings.""",75,Marketplace,16874,3000000000,Individuals,64000000000,12000000,81000000.0,-0.03,53.0,Debt,"""Scaling our marketing and customer acquisition efforts to reach more tour operators and travelers, while also developing new features to improve the user experience and drive sales."""
GreenCycle Indonesia,2020-06-01,Rina Wijaya,"Bandung, West Java",Sustainable Energy,Series B,"""GreenCycle Indonesia is an e-waste recycling company that utilizes AI-powered sorting technology to divert toxic materials from landfills. Our mission is to create a closed-loop system for electronics recycling, providing a sustainable solution for Indonesia’s rapidly growing electronic waste problem.""",62,E-commerce,15562,5000000000,SMBs,94000000000,21000000,164000000.0,0.04,46.0,Equity,"""Scaling up production capacity and expanding our customer base through targeted marketing campaigns and partnerships with major electronics retailers."""
AgroTech Solutions,2018-09-15,Firdaus Saputra,"Bogor, West Java",Agricultural Technology,Seed,"""AgroTech Solutions is an agricultural technology company that develops and implements precision farming solutions for smallholder farmers in Indonesia. Our innovative approach uses drones and AI-powered analytics to optimize crop yields and reduce waste, enabling farmers to increase their income and improve their livelihoods.""",68,E-commerce,3740,9000000000,Enterprises,51000000000,35000000,79000000.0,0.57,88.0,Convertible Note,"""Developing our IoT-enabled crop monitoring system and expanding our distribution network to reach more farmers across Indonesia."""
EcoVolt Indonesia,2024-02-05,"Darimin Salahudin, M.Ak","Pontianak, West Kalimantan",Sustainable Energy,Growth,"""EcoVolt Indonesia focuses on providing sustainable waste management solutions for urban areas. Our smart waste sorting technology integrates IoT sensors and AI to improve recycling efficiency, reduce landfill waste, and create economic value from recycled materials. We aim to raise awareness about proper waste disposal while supporting sustainable practices in local communities.""",113,Freemium,19376,25000000000,Enterprises,70000000000,7000000,83000000.0,0.54,86.0,Equity,"""Develop and deploy smart waste sorting technology, expand community outreach programs to promote sustainable waste disposal practices, and enhance marketing efforts to increase adoption of EcoVolt solutions in urban areas."""
FinFit Indonesia,2012-12-20,Sidiq Mansur,"Banjarmasin, South Kalimantan",Financial Tech,Series C,"""FinFit Indonesia is a Financial Tech company that provides affordable and accessible financial services to underserved communities in Indonesia. Our innovative approach uses AI-powered lending algorithms to match borrowers with suitable loan products, reducing the risk of default and improving financial inclusion.""",27,Ad-based,9325,11000000000,Enterprises,43000000000,35000000,111000000.0,0.47,108.0,Equity,"""Developing our mobile app and expanding our network of partner banks and financial institutions."""
GreenHub Indonesia,2024-03-20,"Puti Kasiyah Hastuti, S.Pt","Jambi, Jambi",Renewable Energy,Series B,"""GreenHub Indonesia is a startup that specializes in providing renewable energy solutions, particularly solar energy for rural and underserved communities. Their solar-powered mini-grids help improve electricity access and reduce dependence on fossil fuels.""",75,SaaS,539,6000000000,Specific Industries,54000000000,27000000,105000000.0,0.38,62.0,Debt,"""Expand the solar mini-grid network, improve grid technology, and increase customer awareness."""
SmartAgro Indonesia,2017-07-25,"drg. Agnes Pertiwi, S.Psi","Serang, Banten",Agricultural Technology,Series C,"""SmartAgro Indonesia is an agricultural technology company that develops and implements precision farming solutions for smallholder farmers in Indonesia. Our innovative approach uses drones and AI-powered analytics to optimize crop yields and reduce waste, enabling farmers to increase their income and improve their livelihoods.""",22,Freemium,17222,32000000000,Specific Industries,24000000000,24000000,116000000.0,0.31,144.0,Debt,"""Advancing our IoT-based crop monitoring system and broadening our distribution network to support more farmers throughout Indonesia."""
EcoCare Indonesia,2024-04-15,Rika Permata,"Manokwari, West Papua",Health and Wellness,Series A,"""EcoCare Indonesia offers eco-friendly health and wellness products, such as organic skincare and nutritional supplements made from local plants. The company’s products aim to promote a healthy lifestyle while supporting local farmers.""",147,SaaS,3517,45000000000,Specific Industries,57000000000,32000000,154000000.0,0.28,106.0,Equity,"""Product development, marketing, and establishing partnerships with local farmers to source raw materials."""
FinServ Indonesia,2014-08-15,"Kamila Winarno, M.Pd","Jakarta, Jakarta",Financial Tech,Series c,"""FinServ Indonesia is a Financial Tech company that provides affordable and accessible financial services to underserved communities in Indonesia. Our innovative approach uses AI-powered lending algorithms to match borrowers with suitable loan products, reducing the risk of default and improving financial inclusion.""",89,Subscription,10897,24000000000,Global,25000000000,30000000,186000000.0,0.29,68.0,Convertible Note,"""Improving our mobile application and growing our network of partner banks and financial institutions."""
GreenWave Indonesia,2024-05-01,Dono Yuniar,"Banjarmasin, South Kalimantan",Sustainable Energy,Growth,"""GreenWave Indonesia develops sustainable tidal energy solutions to generate electricity. With innovative technology harnessing ocean currents, the company aims to provide green power to coastal communities while reducing carbon footprints.""",125,Marketplace,3360,6000000000,SMBs,35000000000,25000000,15000000.0,0.31,62.0,Equity,"""Scale tidal energy projects, enhance technology for better energy output, and establish partnerships with coastal regions."""
